NVasv4_Type1,NVasv4 Type1,Consumption,8.97,,usgovvirginia
NVasv4_Type1,NVasv4 Type1,Reservation,48281,1 Year,canadacentral
NVasv4_Type1,NVasv4 Type1,Reservation,82982,3 Years,westus2
NVasv4_Type1,NVasv4 Type1,Consumption,8.612,,southcentralus
NVasv4_Type1,NVasv4 Type1,Reservation,99579,3 Years,canadacentral
NVasv4_Type1,NVasv4 Type1,Reservation,103728,3 Years,westeurope
NVasv4_Type1,NVasv4 Type1,Reservation,48281,1 Year,southcentralus
NVasv4_Type1,NVasv4 Type1,Reservation,99579,3 Years,southcentralus
NVasv4_Type1,NVasv4 Type1,Consumption,8.612,,canadacentral
NVasv4_Type1,NVasv4 Type1,Reservation,103728,3 Years,usgovvirginia
NVasv4_Type1,NVasv4 Type1,Reservation,40234,1 Year,westus2
NVasv4_Type1,NVasv4 Type1,Consumption,8.97,,usgovarizona
NVasv4_Type1,NVasv4 Type1,Reservation,50292,1 Year,usgovarizona
NVasv4_Type1,NVasv4 Type1,Reservation,103728,3 Years,usgovarizona
Standard_NV8as_v4,NV8as v4,Reservation,3135,1 Year,canadacentral
Standard_NV8as_v4,NV8as v4,Reservation,6466,3 Years,canadacentral
Standard_NV8as_v4,NV8as v4,Consumption,0.559,,canadacentral
Standard_NV8as_v4,NV8as v4,Reservation,5388,3 Years,eastus
Standard_NV8as_v4,NV8as v4,Reservation,6736,3 Years,westeurope
Standard_NV8as_v4,NV8as v4,Consumption,0.559,,southcentralus
Standard_NV8as_v4,NV8as v4,Reservation,7813,3 Years,australiaeast
Standard_NV8as_v4,NV8as v4,Reservation,3788,1 Year,australiaeast
Standard_NV8as_v4,NV8as v4,Reservation,3266,1 Year,westeurope
Standard_NV8as_v4,NV8as v4,Consumption,0.582,,westeurope
Standard_NV8as_v4,NV8as v4,Reservation,3135,1 Year,southcentralus
Standard_NV8as_v4,NV8as v4,Reservation,6466,3 Years,southcentralus
Standard_NV8as_v4,NV8as v4,Consumption,0.466,,eastus
Standard_NV8as_v4,NV8as v4,Consumption,0.582,,usgovarizona
Standard_NV8as_v4,NV8as v4,Consumption,0.676,,japaneast
Standard_NV8as_v4,NV8as v4,Reservation,7813,3 Years,japaneast
Standard_NV8as_v4,NV8as v4,Reservation,5388,3 Years,eastus2
Standard_NV8as_v4,NV8as v4,Reservation,3788,1 Year,japaneast
Standard_NV8as_v4,NV8as v4,Reservation,2613,1 Year,eastus2
Standard_NV8as_v4,NV8as v4,Reservation,6736,3 Years,usgovarizona
Standard_NV8as_v4,NV8as v4,Reservation,2613,1 Year,eastus
Standard_NV8as_v4,NV8as v4,Consumption,0.652,,centralindia
Standard_NV8as_v4,NV8as v4,Reservation,3266,1 Year,usgovarizona
Standard_NV8as_v4,NV8as v4,Reservation,3658,1 Year,centralindia
Standard_NV8as_v4,NV8as v4,Reservation,7544,3 Years,centralindia
Standard_NV8as_v4,NV8as v4,Reservation,7005,3 Years,southeastasia
Standard_NV8as_v4,NV8as v4,Consumption,0.676,,australiaeast
Standard_NV8as_v4,NV8as v4,Consumption,0.606,,southeastasia
Standard_NV8as_v4,NV8as v4,Reservation,3396,1 Year,southeastasia
Standard_NV8as_v4,NV8as v4,Consumption,0.582,,usgovvirginia
Standard_NV8as_v4,NV8as v4,Reservation,3266,1 Year,usgovvirginia
Standard_NV8as_v4,NV8as v4,Consumption,0.559,,northcentralus
Standard_NV8as_v4,NV8as v4,Reservation,6466,3 Years,northeurope
Standard_NV8as_v4,NV8as v4,Reservation,3266,1 Year,uksouth
Standard_NV8as_v4,NV8as v4,Reservation,6736,3 Years,usgovvirginia
Standard_NV8as_v4,NV8as v4,Reservation,5388,3 Years,westus2
Standard_NV8as_v4,NV8as v4,Reservation,2613,1 Year,westus2
Standard_NV8as_v4,NV8as v4,Consumption,0.466,,eastus2
Standard_NV8as_v4,NV8as v4,Reservation,3135,1 Year,northcentralus
Standard_NV8as_v4,NV8as v4,Reservation,6466,3 Years,northcentralus
Standard_NV8as_v4,NV8as v4,Consumption,0.466,,westus2
Standard_NV8as_v4,NV8as v4,Consumption,0.582,,uksouth
Standard_NV8as_v4,NV8as v4,Reservation,3135,1 Year,northeurope
Standard_NV8as_v4,NV8as v4,Consumption,0.559,,northeurope
Standard_NV8as_v4,NV8as v4,Reservation,6736,3 Years,uksouth
Standard_NV6s_v2,NV6s v2,Consumption,0.767,,westus
Standard_NV6s_v2,NV6s v2,Consumption,0.684,,southcentralus
Standard_NV6,NV6,Consumption,1.14,,northcentralus
Standard_NV6,NV6,Reservation,9217,1 Year,southeastasia
Standard_NV6,NV6,Consumption,1.58,,japaneast
Standard_NV6,NV6,Reservation,13289,3 Years,westus2
Standard_NV6,NV6,Reservation,13289,3 Years,northcentralus
Standard_NV6,NV6,Reservation,20111,3 Years,japaneast
Standard_NV6,NV6,Reservation,13289,3 Years,eastus2
Standard_NV6,NV6,Reservation,6361,1 Year,eastus2
Standard_NV6,NV6,Reservation,9217,1 Year,japaneast
Standard_NV6,NV6,Reservation,20111,3 Years,southeastasia
Standard_NV6,NV6,Consumption,1.59,,southeastasia
Standard_NV6,NV6,Reservation,6361,1 Year,northcentralus
Standard_NV6,NV6,Consumption,1.202,,eastus2
Standard_NV6,NV6,Consumption,1.718,,centralindia
Standard_NV6,NV6,Consumption,1.366,,usgovtexas
Standard_NV6,NV6,Reservation,16738,3 Years,westeurope
Standard_NV6,NV6,Reservation,6988,1 Year,northeurope
Standard_NV6,NV6,Consumption,1.092,,westus2
Standard_NV6,NV6,Reservation,15946,3 Years,southcentralus
Standard_NV6,NV6,Reservation,7633,1 Year,southcentralus
Standard_NV6,NV6,Consumption,1.15,,southcentralus
Standard_NV6,NV6,Reservation,15217,3 Years,northeurope
Standard_NV6,NV6,Reservation,13289,3 Years,eastus
Standard_NV6,NV6,Reservation,7686,1 Year,westeurope
Standard_NV6,NV6,Reservation,6361,1 Year,westus2
Standard_NV6,NV6,Consumption,1.14,,eastus
Standard_NV6,NV6,Consumption,1.21,,northeurope
Standard_NV6,NV6,Reservation,6361,1 Year,eastus
Standard_NV6,NV6,Consumption,1.365,,westeurope
Standard_NV6,NV6,Consumption,1.366,,usgovvirginia
Standard_NV6,NV6,Reservation,9217,1 Year,australiaeast
Standard_NV6,NV6,Reservation,8736,1 Year,uksouth
Standard_NV6,NV6,Reservation,19061,3 Years,uksouth
Standard_NV6,NV6,Consumption,1.502,,uksouth
Standard_NV6,NV6,Consumption,1.366,,usgovarizona
Standard_NV6,NV6,Reservation,18605,3 Years,centralindia
Standard_NV6,NV6,Reservation,8905,1 Year,centralindia
Standard_NV6,NV6,Consumption,1.59,,australiaeast
Standard_NV6,NV6,Reservation,20111,3 Years,australiaeast
Standard_NV4as_v4,NV4as v4,Consumption,0.291,,westeurope
Standard_NV4as_v4,NV4as v4,Consumption,0.233,,eastus
Standard_NV4as_v4,NV4as v4,Consumption,0.338,,japaneast
Standard_NV4as_v4,NV4as v4,Reservation,1698,1 Year,southeastasia
Standard_NV4as_v4,NV4as v4,Consumption,0.303,,southeastasia
Standard_NV4as_v4,NV4as v4,Reservation,1894,1 Year,australiaeast
Standard_NV4as_v4,NV4as v4,Reservation,3907,3 Years,australiaeast
Standard_NV4as_v4,NV4as v4,Consumption,0.28,,northeurope
Standard_NV4as_v4,NV4as v4,Reservation,1568,1 Year,southcentralus
Standard_NV4as_v4,NV4as v4,Reservation,3233,3 Years,northeurope
Standard_NV4as_v4,NV4as v4,Consumption,0.338,,australiaeast
Standard_NV4as_v4,NV4as v4,Reservation,1306,1 Year,eastus
Standard_NV4as_v4,NV4as v4,Reservation,3368,3 Years,usgovarizona
Standard_NV4as_v4,NV4as v4,Reservation,1633,1 Year,usgovarizona
