"name","numberOfCores","osDiskSizeInMB","resourceDiskSizeInMB","memoryInMB","maxDataDiskCount"
"Standard_DC32as_cc_v5","32","1047552","0","131072","32"
"Standard_DC48as_cc_v5","48","1047552","0","196608","32"
"Standard_DC64as_cc_v5","64","1047552","0","262144","32"
"Standard_DC96as_cc_v5","96","1047552","0","393216","32"
"Standard_DC4ads_cc_v5","4","1047552","153600","16384","8"
"Standard_DC8ads_cc_v5","8","1047552","307200","32768","16"
"Standard_DC16ads_cc_v5","16","1047552","614400","65536","32"
"Standard_DC32ads_cc_v5","32","1047552","1228800","131072","32"
"Standard_DC48ads_cc_v5","48","1047552","1843200","196608","32"
"Standard_DC64ads_cc_v5","64","1047552","2457600","262144","32"
"Standard_DC96ads_cc_v5","96","1047552","3686400","393216","32"
"Standard_EC4as_cc_v5","4","1047552","0","32768","8"
"Standard_EC8as_cc_v5","8","1047552","0","65536","16"
"Standard_EC16as_cc_v5","16","1047552","0","131072","32"
"Standard_EC20as_cc_v5","20","1047552","0","163840","32"
"Standard_EC32as_cc_v5","32","1047552","0","196608","32"
"Standard_EC48as_cc_v5","48","1047552","0","393216","32"
"Standard_EC64as_cc_v5","64","1047552","0","524288","32"
"Standard_EC96as_cc_v5","96","1047552","0","688128","32"
"Standard_EC4ads_cc_v5","4","1047552","153600","32768","8"
"Standard_EC8ads_cc_v5","8","1047552","307200","65536","16"
"Standard_EC16ads_cc_v5","16","1047552","614400","131072","32"
"Standard_EC20ads_cc_v5","20","1047552","768000","163840","32"
"Standard_EC32ads_cc_v5","32","1047552","1228800","196608","32"
"Standard_EC48ads_cc_v5","48","1047552","1843200","393216","32"
"Standard_EC64ads_cc_v5","64","1047552","2457600","524288","32"
"Standard_EC96ads_cc_v5","96","1047552","3686400","688128","32"
"Standard_D2a_v4","2","1047552","51200","8192","4"
"Standard_D4a_v4","4","1047552","102400","16384","8"
"Standard_D8a_v4","8","1047552","204800","32768","16"
"Standard_D16a_v4","16","1047552","409600","65536","32"
"Standard_D32a_v4","32","1047552","819200","131072","32"
"Standard_D48a_v4","48","1047552","1228800","196608","32"
"Standard_D64a_v4","64","1047552","1638400","262144","32"
"Standard_D96a_v4","96","1047552","2457600","393216","32"
"Standard_D2as_v4","2","1047552","16384","8192","4"
"Standard_D4as_v4","4","1047552","32768","16384","8"
"Standard_D8as_v4","8","1047552","65536","32768","16"
"Standard_D16as_v4","16","1047552","131072","65536","32"
"Standard_D32as_v4","32","1047552","262144","131072","32"
"Standard_D48as_v4","48","1047552","393216","196608","32"
"Standard_D64as_v4","64","1047552","524288","262144","32"
"Standard_D96as_v4","96","1047552","786432","393216","32"
"Standard_D2as_v5","2","1047552","0","8192","4"
"Standard_D4as_v5","4","1047552","0","16384","8"
"Standard_D8as_v5","8","1047552","0","32768","16"
"Standard_D16as_v5","16","1047552","0","65536","32"
"Standard_D32as_v5","32","1047552","0","131072","32"
"Standard_D48as_v5","48","1047552","0","196608","32"
"Standard_D64as_v5","64","1047552","0","262144","32"
"Standard_D96as_v5","96","1047552","0","393216","32"
